2021,01,-0.2,5.6,5.8,5.4,5.1,2.5,1.6,2.3,2.0,2.6,0.8,0.1,2.2,1.3,0.9,-1.4,-2.0,-4.4,3.0,5.9,5.8,8.8,8.5,3.6,3.7,2.8,3.0,2.4,5.2,8.4,0.4
2021,02,2.2,1.3,4.1,9.3,5.7,2.4,-0.7,-1.9,0.0,-1.6,-4.7,-4.1,-1.8,0.0,-1.0,-1.6,8.6,8.1,3.7,1.9,4.1,4.9,7.4,12.6,12.8,11.9,10.3,9.4,,,
2021,03,7.6,11.1,10.2,8.5,5.5,6.0,6.5,4.9,3.6,7.0,5.5,11.6,13.1,10.8,9.1,7.1,9.1,5.7,5.1,0.4,2.7,5.7,8.3,6.9,14.8,18.1,16.4,12.6,18.2,23.1,23.2
2021,04,24.9,15.2,10.5,8.8,16.5,5.6,5.7,8.1,14.3,18.4,17.5,16.9,3.9,7.4,5.8,6.8,6.7,10.4,11.5,15.3,16.9,12.1,12.5,16.1,12.4,12.4,13.9,17.0,19.0,20.0,
2021,05,18.4,12.1,13.3,20.1,17.0,14.6,15.3,15.7,22.1,25.3,28.9,21.3,14.3,15.2,18.2,18.7,14.0,18.6,16.5,17.9,19.2,17.0,15.0,16.6,13.6,19.1,17.0,17.2,16.9,16.3,19.2
2021,06,20.4,23.3,24.0,26.4,26.9,25.2,26.4,26.5,27.2,25.7,23.7,25.8,19.6,21.6,26.1,28.0,29.7,30.1,31.6,32.5,32.1,28.5,25.9,29.7,25.5,25.0,26.6,28.1,29.0,25.6,
2021,07,22.6,20.0,23.8,25.7,25.9,30.5,28.1,31.2,26.1,25.9,23.8,25.7,31.2,26.8,26.8,29.0,28.4,27.4,26.9,22.2,23.3,25.2,26.5,29.3,26.8,28.7,29.6,31.3,28.5,29.7,28.4
2021,08,24.5,24.1,25.5,22.3,19.4,23.1,26.6,23.9,26.1,28.7,27.9,27.5,29.0,31.2,31.6,29.4,19.3,21.1,24.2,24.0,25.5,24.8,23.1,18.5,20.3,18.0,17.7,17.6,18.3,19.9,18.7
2021,09,21.3,21.8,22.9,24.9,21.8,22.7,21.9,24.1,25.1,25.2,26.1,25.2,25.6,25.6,25.7,25.9,19.5,17.7,16.2,14.7,15.5,15.1,20.4,19.9,23.6,23.6,20.2,22.8,16.2,17.3,
2021,10,17.7,19.0,20.2,21.5,23.0,18.8,14.3,15.9,13.1,11.3,15.6,13.3,10.3,11.0,14.0,13.9,12.9,14.1,13.2,18.7,17.7,13.6,11.3,12.0,12.7,10.2,14.2,13.7,14.9,14.9,14.6
2021,11,13.8,9.7,10.5,12.1,9.9,11.2,9.2,9.9,11.2,10.2,5.8,5.6,4.1,6.2,7.9,9.8,5.5,8.8,10.2,10.6,8.7,7.5,7.0,5.6,3.6,3.6,0.8,1.2,2.3,2.6,
2021,12,5.3,7.0,4.3,1.1,1.2,2.6,2.0,1.6,0.8,0.6,1.5,2.1,4.3,3.9,6.2,7.4,7.8,5.1,6.4,6.0,2.3,0.5,-1.4,8.5,4.7,-2.6,-0.6,0.4,1.5,3.9,13.0
